32, 69
33, 33
34, 34
35, 35
36, 36
37, 37
38, 38
39, 39
40, 40
41, 41
42, 42
43, 43
44, 32
45, 45
46, 73
47, 47
48, 48
49, 49
50, 50
51, 51
52, 52
53, 53
54, 54
55, 55
56, 56
57, 57
58, 58
59, 59
60, 60
61, 61
62, 62
63, 63
64, 64
65, 74
66, 89
67, 83
68, 68
69, 86
70, 65
71, 97
72, 117
73, 102
74, 78
75, 71
76, 76
77, 87
78, 75
79, 98
80, 82
81, 112
82, 107
83, 79
84, 46
85, 81
86, 111
87, 109
88, 118
89, 108
90, 115
91, 91
92, 92
93, 93
94, 94
95, 95
96, 96
97, 110
98, 80
99, 88
100, 72
101, 84
102, 44
103, 99
104, 119
105, 116
106, 67
107, 85
108, 100
109, 122
110, 121
111, 106
112, 101
113, 66
114, 113
115, 90
116, 103
117, 105
118, 70
119, 120
120, 114
121, 104
122, 77
123, 123
124, 124
125, 125
126, 126
127, 127
